name,variant,runtime_us,vlen,cpy
autoconversion_snow_no_vectorize_size_4194304_v2,dace,255399.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,322207.20200000005,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,256897.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,255766.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,255569.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,255508.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,255471.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,255503.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,255484.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,255427.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,253990.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace,254035.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,315222.76,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,315014.587,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,315036.133,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,315032.765,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,315930.49299999996,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,320006.376,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,320011.25800000003,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,320013.273,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,319997.48099999997,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,fortran,320020.391,None,None
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,250828.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,250738.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,249941.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,249590.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,249616.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,247853.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,249618.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,249648.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,249620.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,249636.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_no_cpy,247814.0,8,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,253173.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,252940.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,252606.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,253111.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,253075.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,252843.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,252941.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,252692.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,252723.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,252621.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_8_w_cpy,252594.0,8,True
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_16_no_cpy,242725.0,16,False
autoconversion_snow_no_vectorize_size_4194304_v2,dace_vec_16_no_cpy,242584.0,16,False
