sdfg_name,size,rep,time_seconds
log_implementations_std,4718592,0,5049
log_implementations_std,4718592,1,5064
log_implementations_std,4718592,2,5052
log_implementations_std,4718592,3,5043
log_implementations_std,4718592,4,5048
log_implementations_std,4718592,5,5045
log_implementations_std,4718592,6,5055
log_implementations_std,4718592,7,5065
log_implementations_std,4718592,8,5046
log_implementations_std,4718592,9,5055
log_implementations_std,4718592,10,5052
log_implementations_std,4718592,11,5058
log_implementations_std,4718592,12,5060
log_implementations_std,4718592,13,5052
log_implementations_std,4718592,14,5040
log_implementations_std,4718592,15,5048
log_implementations_std,4718592,16,5048
log_implementations_std,4718592,17,5060
log_implementations_std,4718592,18,5063
log_implementations_std,4718592,19,5056
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,0,5059
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,1,5053
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,2,5064
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,3,5049
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,4,5053
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,5,5060
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,6,5085
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,7,5060
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,8,5052
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,9,5061
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,10,5045
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,11,5059
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,12,5055
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,13,5051
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,14,5044
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,15,5054
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,16,5055
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,17,5066
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,18,5055
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,19,5056
log_implementations_std_graceclang__veclen_8_cpy,4718592,0,5124
log_implementations_std_graceclang__veclen_8_cpy,4718592,1,5119
log_implementations_std_graceclang__veclen_8_cpy,4718592,2,5117
log_implementations_std_graceclang__veclen_8_cpy,4718592,3,5114
log_implementations_std_graceclang__veclen_8_cpy,4718592,4,5113
log_implementations_std_graceclang__veclen_8_cpy,4718592,5,5111
log_implementations_std_graceclang__veclen_8_cpy,4718592,6,5106
log_implementations_std_graceclang__veclen_8_cpy,4718592,7,5111
log_implementations_std_graceclang__veclen_8_cpy,4718592,8,5113
log_implementations_std_graceclang__veclen_8_cpy,4718592,9,5112
log_implementations_std_graceclang__veclen_8_cpy,4718592,10,5115
log_implementations_std_graceclang__veclen_8_cpy,4718592,11,5108
log_implementations_std_graceclang__veclen_8_cpy,4718592,12,5112
log_implementations_std_graceclang__veclen_8_cpy,4718592,13,5109
log_implementations_std_graceclang__veclen_8_cpy,4718592,14,5113
log_implementations_std_graceclang__veclen_8_cpy,4718592,15,5111
log_implementations_std_graceclang__veclen_8_cpy,4718592,16,5106
log_implementations_std_graceclang__veclen_8_cpy,4718592,17,5112
log_implementations_std_graceclang__veclen_8_cpy,4718592,18,5105
log_implementations_std_graceclang__veclen_8_cpy,4718592,19,5109
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,0,5132
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,1,5129
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,2,5120
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,3,5116
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,4,5326
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,5,5113
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,6,5115
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,7,5112
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,8,5109
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,9,5106
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,10,5106
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,11,5115
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,12,5111
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,13,5111
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,14,5110
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,15,5112
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,16,5110
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,17,5116
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,18,5117
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,19,5112
log_implementations_std_graceclang__veclen_16_cpy,4718592,0,5090
log_implementations_std_graceclang__veclen_16_cpy,4718592,1,5094
log_implementations_std_graceclang__veclen_16_cpy,4718592,2,5092
log_implementations_std_graceclang__veclen_16_cpy,4718592,3,5090
log_implementations_std_graceclang__veclen_16_cpy,4718592,4,5084
log_implementations_std_graceclang__veclen_16_cpy,4718592,5,5100
log_implementations_std_graceclang__veclen_16_cpy,4718592,6,5081
log_implementations_std_graceclang__veclen_16_cpy,4718592,7,5089
log_implementations_std_graceclang__veclen_16_cpy,4718592,8,5093
log_implementations_std_graceclang__veclen_16_cpy,4718592,9,5093
log_implementations_std_graceclang__veclen_16_cpy,4718592,10,5086
log_implementations_std_graceclang__veclen_16_cpy,4718592,11,5089
log_implementations_std_graceclang__veclen_16_cpy,4718592,12,5080
log_implementations_std_graceclang__veclen_16_cpy,4718592,13,5083
log_implementations_std_graceclang__veclen_16_cpy,4718592,14,5092
log_implementations_std_graceclang__veclen_16_cpy,4718592,15,5087
log_implementations_std_graceclang__veclen_16_cpy,4718592,16,5084
log_implementations_std_graceclang__veclen_16_cpy,4718592,17,5084
log_implementations_std_graceclang__veclen_16_cpy,4718592,18,5084
log_implementations_std_graceclang__veclen_16_cpy,4718592,19,5080
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,0,5206
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,1,5193
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,2,5221
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,3,5174
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,4,5187
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,5,5177
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,6,5190
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,7,5188
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,8,5189
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,9,5181
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,10,5184
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,11,5186
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,12,5175
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,13,5175
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,14,5177
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,15,5185
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,16,5170
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,17,5181
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,18,5186
log_implementations_std_graceclang__veclen_32_no_cpy,4718592,19,5204
log_implementations_std_graceclang__veclen_32_cpy,4718592,0,5201
log_implementations_std_graceclang__veclen_32_cpy,4718592,1,5209
log_implementations_std_graceclang__veclen_32_cpy,4718592,2,5191
log_implementations_std_graceclang__veclen_32_cpy,4718592,3,5184
log_implementations_std_graceclang__veclen_32_cpy,4718592,4,5164
log_implementations_std_graceclang__veclen_32_cpy,4718592,5,5181
log_implementations_std_graceclang__veclen_32_cpy,4718592,6,5191
log_implementations_std_graceclang__veclen_32_cpy,4718592,7,5215
log_implementations_std_graceclang__veclen_32_cpy,4718592,8,5179
log_implementations_std_graceclang__veclen_32_cpy,4718592,9,5189
log_implementations_std_graceclang__veclen_32_cpy,4718592,10,5179
log_implementations_std_graceclang__veclen_32_cpy,4718592,11,5189
log_implementations_std_graceclang__veclen_32_cpy,4718592,12,5183
log_implementations_std_graceclang__veclen_32_cpy,4718592,13,5179
log_implementations_std_graceclang__veclen_32_cpy,4718592,14,5171
log_implementations_std_graceclang__veclen_32_cpy,4718592,15,5186
log_implementations_std_graceclang__veclen_32_cpy,4718592,16,5178
