sdfg_name,size,rep,time_seconds
exp_implementations_std,4718592,0,662
exp_implementations_std,4718592,1,654
exp_implementations_std,4718592,2,700
exp_implementations_std,4718592,3,660
exp_implementations_std,4718592,4,657
exp_implementations_std,4718592,5,654
exp_implementations_std,4718592,6,655
exp_implementations_std,4718592,7,653
exp_implementations_std,4718592,8,655
exp_implementations_std,4718592,9,662
exp_implementations_std,4718592,10,674
exp_implementations_std,4718592,11,658
exp_implementations_std,4718592,12,667
exp_implementations_std,4718592,13,660
exp_implementations_std,4718592,14,671
exp_implementations_std,4718592,15,662
exp_implementations_std,4718592,16,659
exp_implementations_std,4718592,17,658
exp_implementations_std,4718592,18,658
exp_implementations_std,4718592,19,659
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,0,652
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,1,656
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,2,708
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,3,692
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,4,653
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,5,648
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,6,671
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,7,660
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,8,650
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,9,653
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,10,664
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,11,650
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,12,649
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,13,654
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,14,658
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,15,654
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,16,654
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,17,661
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,18,674
exp_implementations_std_clang__no_vectorize_veclen_4_no_cpy,4718592,19,652
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,0,659
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,1,662
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,2,665
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,3,664
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,4,661
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,5,671
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,6,663
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,7,667
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,8,668
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,9,677
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,10,663
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,11,706
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,12,666
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,13,668
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,14,665
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,15,662
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,16,660
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,17,671
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,18,678
exp_implementations_std_clang__no_vectorize_veclen_4_cpy,4718592,19,669
exp_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,0,675
