Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Num Core Per Cluster,Num Vector Unit Per Cluster,Bank Width,Bank Num,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,1,1,32,32,16.0000,32.0000,67.28,67.28,0.1023,6696.8150,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,1,1,32,32,32.0000,32.0000,116.87,116.87,0.1023,3855.2290,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,32,8192,16384,2,1,1,32,32,64.0000,32.0000,73.91,73.91,0.1023,6095.8050,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,64,8192,16384,2,1,1,32,32,128.0000,32.0000,145.93,145.93,0.1023,3087.4390,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,8,8192,16384,2,1,1,32,32,16.0000,64.0000,50.69,50.69,0.1023,4444.2710,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,16,8192,16384,2,1,1,32,32,32.0000,64.0000,57.29,57.29,0.1023,3932.0730,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,32,8192,16384,2,1,1,32,32,64.0000,64.0000,58.62,58.62,0.1023,3842.9640,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,64,8192,16384,2,1,1,32,32,128.0000,64.0000,59.02,59.02,0.1023,3817.2290,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,2,1,32,32,16.0000,32.0000,67.28,67.28,0.1023,6696.3010,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,2,1,32,32,32.0000,32.0000,72.85,72.85,0.1023,6184.6280,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,32,8192,16384,2,2,1,32,32,64.0000,32.0000,73.90,73.90,0.1023,6096.6650,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,64,8192,16384,2,2,1,32,32,128.0000,32.0000,74.21,74.21,0.1023,6071.0460,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,8,8192,16384,2,2,1,32,32,16.0000,64.0000,50.69,50.69,0.1023,4444.0830,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,16,8192,16384,2,2,1,32,32,32.0000,64.0000,57.30,57.30,0.1023,3931.8780,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,32,8192,16384,2,2,1,32,32,64.0000,64.0000,42.19,42.19,0.1023,5339.8440,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,64,8192,16384,2,2,1,32,32,128.0000,64.0000,59.00,59.00,0.1023,3818.5020,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,4,1,32,32,16.0000,32.0000,85.32,85.32,0.1023,5280.6770,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,4,1,32,32,32.0000,32.0000,72.85,72.85,0.1023,6184.6470,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,32,8192,16384,2,4,1,32,32,64.0000,32.0000,73.91,73.91,0.1023,6096.2450,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,64,8192,16384,2,4,1,32,32,128.0000,32.0000,74.22,74.22,0.1023,6070.3560,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,8,8192,16384,2,4,1,32,32,16.0000,64.0000,50.69,50.69,0.1023,4444.1050,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,16,8192,16384,2,4,1,32,32,32.0000,64.0000,72.97,72.97,0.1023,3087.2890,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,32,8192,16384,2,4,1,32,32,64.0000,64.0000,58.61,58.61,0.1023,3843.9970,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,64,8192,16384,2,4,1,32,32,128.0000,64.0000,59.01,59.01,0.1023,3817.8120,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,8,1,32,32,16.0000,32.0000,148.79,148.79,0.1023,3028.1310,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,8,1,32,32,32.0000,32.0000,72.85,72.85,0.1023,6184.7370,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,32,8192,16384,2,8,1,32,32,64.0000,32.0000,73.92,73.92,0.1023,6095.3970,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,64,8192,16384,2,8,1,32,32,128.0000,32.0000,74.26,74.26,0.1023,6067.4480,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,8,8192,16384,2,8,1,32,32,16.0000,64.0000,50.69,50.69,0.1023,4444.1530,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,16,8192,16384,2,8,1,32,32,32.0000,64.0000,42.50,42.50,0.1023,5301.3190,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,32,8192,16384,2,8,1,32,32,64.0000,64.0000,58.63,58.63,0.1023,3842.4660,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,16,64,8192,16384,2,8,1,32,32,128.0000,64.0000,44.65,44.65,0.1023,5044.9170,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,1,1,32,64,16.0000,32.0000,73.77,73.77,0.1023,6107.3490,14745600,144179200
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,1,1,32,64,32.0000,32.0000,80.52,80.52,0.1023,5595.7530,14745600,144179200
