sdfg_name,size,rep,time_seconds
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,7,819
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,8,824
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,9,823
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,0,839
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,1,850
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,2,843
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,3,835
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,4,844
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,5,842
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,6,839
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,7,835
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,8,846
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,9,839
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,0,584
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,1,582
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,2,585
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,3,579
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,4,583
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,5,585
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,6,582
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,7,579
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,8,578
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,9,582
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,0,604
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,1,603
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,2,601
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,3,604
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,4,600
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,5,615
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,6,601
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,7,597
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,8,609
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,9,603
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,0,606
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,1,605
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,2,607
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,3,608
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,4,608
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,5,609
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,6,592
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,7,598
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,8,602
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,9,602
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,0,621
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,1,629
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,2,621
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,3,617
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,4,635
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,5,630
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,6,614
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,7,628
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,8,633
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,8192,9,623
cloudsc_pattern_1,4194304,0,551917
cloudsc_pattern_1,4194304,1,551183
cloudsc_pattern_1,4194304,2,551338
cloudsc_pattern_1,4194304,3,551525
cloudsc_pattern_1,4194304,4,552151
cloudsc_pattern_1,4194304,5,551903
cloudsc_pattern_1,4194304,6,551542
cloudsc_pattern_1,4194304,7,552260
cloudsc_pattern_1,4194304,8,551781
cloudsc_pattern_1,4194304,9,551782
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,4194304,0,423315
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,4194304,1,423426
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,4194304,2,422904
